MRR,Date,XcoordGPS,YcoordGPS,ColMethod,variable,NumMoz,relSite
1,2013-10-13T00:00:00Z,-4.471161,11.231424,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.471061,11.231542,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.471254,11.231439,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472153,11.233797,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472171,11.233716,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472098,11.233781,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472648,11.233849,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47276,11.233868,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472646,11.23383,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472708,11.233841,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472639,11.234494,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472935,11.234441,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472926,11.234531,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472725,11.234934,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.470298,11.23102,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472825,11.235519,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472993,11.235446,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47299,11.235464,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472899,11.235649,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473026,11.236207,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472945,11.236046,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472226,11.235659,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472189,11.235623,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.472221,11.235652,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.471238,11.234225,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.471267,11.234234,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.470698,11.234021,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.470643,11.234139,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47139,11.233322,Swarm,Male Mark A,0,A
1,2013-10-13T00:00:00Z,-4.47139,11.23345,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.472851,11.23367,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.472644,11.233072,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.473257,11.232662,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.472665,11.23024,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.47276,11.233868,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.472602,11.233881,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.472725,11.234934,Swarm,Male Mark A,3,A
2,2014-05-07T00:00:00Z,-4.47303,11.23621,Swarm,Male Mark A,1,A
2,2014-05-07T00:00:00Z,-4.472979,11.236016,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.471991,11.235290000000001,Swarm,Male Mark A,0,A
2,2014-05-07T00:00:00Z,-4.469322,11.233391,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473436,11.233931,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473152,11.233864,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473371,11.233755,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473449,11.233894,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473428,11.233649,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472927,11.233612,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472595,11.233051,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473257,11.232662,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473301,11.232573,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473322,11.231116,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473306,11.230824,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472665,11.23024,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472725,11.230079,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472715,11.230124,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472599,11.230176,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472613,11.230216,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472196,11.232656,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.471712,11.232405,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.471046,11.231522,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472171,11.233716,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.47276,11.233868,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472669,11.233841,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472889,11.234526,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472799,11.234499,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.47303,11.23621,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472979,11.236016,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.47298,11.236059,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.473098,11.235998,Swarm,Male Mark A,0,A
3,2014-09-04T00:00:00Z,-4.472672,11.235611,Swarm,Male Mark A,1,A
3,2014-09-04T00:00:00Z,-4.472071,11.235442,Swarm,Male Mark A,2,A
3,2014-09-04T00:00:00Z,-4.471984,11.235241,Swarm,Male Mark A,2,A
